1st,2nd,3rd,pitch,pitch_con,tone,sort
-1.63E-07,3.35E-05,-0.008174185,1.256722738,zhong_4_75,4,75
3.42E-07,-0.000106892,-0.005780754,1.730989297,wang_1_395,1,395
3.66E-07,-7.03E-05,-0.016109959,2.030668294,zhong_2_8,2,8
-1.26E-06,0.000502906,-0.043312969,-0.116533402,zhong_2_2,2,2
-5.49E-07,0.000198568,-0.005426431,-1.4111753,zhong_2_7,2,7
5.16E-07,-0.00017408,0.021067361,-1.344537451,zhong_2_6,2,6
-1.92E-07,-1.46E-05,0.010639882,0.084979196,zhong_4_9,4,9
-7.09E-07,0.000339766,-0.034125398,-0.269493127,meng_2_61,2,61
2.30E-07,2.18E-05,-0.028398219,2.04833037,meng_2_63,2,63
4.61E-07,-0.000280886,0.037288635,-0.304659715,zhong_3_295,3,295
2.85E-07,-0.000226885,0.051612825,-2.814275433,zhong_1_195,1,195
5.36E-07,-0.000264899,0.025363519,0.498588185,zhong_3_292,3,292
8.87E-07,-0.000475501,0.075518473,-2.982398823,zhong_4_203,4,203
1.05E-06,-0.000395246,0.036865641,-0.72246857,meng_4_146,4,146
3.00E-07,-5.43E-05,0.002126805,-0.653648589,meng_2_83,2,83
3.53E-07,-1.48E-05,-0.021070886,1.248600851,meng_2_142,2,142
-5.70E-07,0.000179541,0.000722066,-1.630332995,meng_2_85,2,85
3.25E-09,1.21E-05,-0.015013882,1.811155528,meng_3_170,3,170
-1.05E-06,0.000340731,-0.016376138,-0.717069268,zhong_1_134,1,134
-6.02E-07,0.000207838,-0.004317334,-1.501105285,zhong_2_290,2,290
3.81E-07,-0.000203582,0.019220644,0.614370871,zhong_3_51,3,51
8.36E-08,6.83E-06,0.002278934,-1.052657256,zhong_2_297,2,297
4.18E-08,7.17E-06,-0.016419445,1.912481746,zhong_3_59,3,59
3.10E-07,-2.75E-06,-0.026238946,1.928373513,wang_1_158,1,158
-1.71E-07,6.07E-05,0.004945992,-1.36909949,zhong_1_128,1,128
4.51E-07,-0.000135099,-0.003439082,1.50390033,zhong_2_199,2,199
-6.89E-08,2.86E-05,-0.014197856,1.677192313,meng_3_236,3,236
7.60E-08,-0.000106252,0.03317383,-2.259515067,meng_3_72,3,72
1.37E-06,-0.000536264,0.045819221,0.031039747,meng_2_18,2,18
-1.26E-07,-1.14E-05,0.02291839,-2.20183572,zhong_1_123,1,123
5.48E-08,-0.000148012,0.033182195,-0.935938954,meng_3_64,3,64
2.49E-07,-0.000142543,0.033141928,-2.309367785,meng_2_247,2,247
-7.84E-07,0.000241629,-0.011506116,-0.278497535,wang_1_55,1,55
-6.70E-07,0.000373267,-0.048524749,0.619371002,meng_2_243,2,243
-2.81E-07,9.17E-05,0.005855693,-1.694666355,meng_1_90,1,90
-5.92E-07,0.00031107,-0.054607992,2.779212397,meng_1_191,1,191
6.89E-07,-0.000290788,0.02219535,0.729608287,zhong_2_225,2,225
5.53E-07,-0.00035663,0.062168646,-2.335712181,zhong_2_224,2,224
9.72E-07,-0.000484164,0.057447714,-0.656372667,meng_4_267,4,267
8.56E-07,-0.000397342,0.041240444,-0.047333534,zhong_3_269,3,269
-1.11E-07,-8.42E-05,0.037468998,-2.332433701,zhong_4_168,4,168
3.11E-07,-0.000132453,0.00345271,1.316201291,zhong_3_267,3,267
-2.00E-07,0.00013198,-0.033407953,2.344788547,zhong_3_146,3,146
1.52E-07,-0.000112152,0.010512997,0.715320595,zhong_3_149,3,149
-7.58E-10,-3.46E-05,0.02099948,-2.054726631,zhong_1_45,1,45
-1.06E-06,0.000476286,-0.065894613,2.66710658,wang_1_538,1,538
-5.21E-07,0.000307091,-0.056352783,2.698580801,wang_1_534,1,534
-4.69E-08,4.43E-06,0.013564414,-1.797432328,meng_1_224,1,224
1.63E-07,-0.000130222,0.035233206,-2.421113249,zhong_3_317,3,317
-8.13E-07,0.000466894,-0.072377886,2.306348526,zhong_2_125,2,125
-4.09E-08,-0.000119585,0.040283745,-2.173199216,wang_1_289,1,289
-6.56E-07,0.000217831,-0.003848953,-1.518156382,zhong_1_311,1,311
3.41E-07,-0.000222005,0.028880623,-0.005716195,wang_4_213,4,213
5.98E-07,-0.000376802,0.06931129,-3.079890369,wang_1_440,1,440
-6.49E-07,0.000345313,-0.05905686,2.807691584,meng_3_30,3,30
-8.89E-07,0.000313465,-0.031132299,1.180206192,meng_4_192,4,192
-1.38E-07,5.24E-05,-0.015861862,1.678789013,zhong_4_46,4,46
-6.42E-07,0.00035052,-0.06148603,2.966653753,meng_1_120,1,120
9.34E-07,-0.000501543,0.077811492,-2.869451319,zhong_4_48,4,48
1.94E-07,2.54E-05,-0.01552292,0.300492206,meng_2_57,2,57
-2.91E-07,0.000112843,0.000734875,-1.486782042,wang_1_190,1,190
1.89E-08,1.77E-05,0.004568772,-1.285827979,zhong_4_153,4,153
-2.95E-07,0.000147838,-0.009227099,-1.019911777,meng_1_59,1,59
-2.43E-07,0.000188841,-0.045325537,2.722392464,meng_1_51,1,51
-1.02E-07,-1.49E-05,0.001840777,0.800324971,meng_4_219,4,219
-8.60E-08,3.79E-05,-0.015741264,1.743333722,meng_4_53,4,53
6.13E-07,-0.000266404,0.040070541,-2.081239052,meng_2_112,2,112
-2.07E-07,4.81E-05,-0.005551941,0.739139947,meng_2_114,2,114
2.16E-07,-5.41E-05,-0.011355623,1.829762398,zhong_3_4,3,4
-1.27E-06,0.000596878,-0.082100338,2.86311607,meng_4_54,4,54
-6.13E-08,2.21E-05,-0.012737617,1.604880532,meng_4_58,4,58
5.78E-07,-0.000299518,0.03259069,0.169549633,zhong_3_238,3,238
2.02E-07,-9.47E-05,0.022413604,-1.825270109,zhong_2_265,2,265
4.23E-07,-0.000276857,0.055763357,-2.856129775,zhong_2_302,2,302
-2.06E-07,-1.68E-05,0.015174213,-0.421889795,zhong_2_308,2,308
-1.35E-07,7.07E-05,-0.021264517,1.918925715,zhong_3_100,3,100
9.57E-07,-0.000451111,0.052722451,-0.815144845,zhong_3_104,3,104
-4.70E-07,0.000125901,-0.008998883,0.67783005,meng_4_282,4,282
8.21E-07,-0.000457076,0.06307702,-1.288870327,meng_4_287,4,287
1.55E-07,-0.000208619,0.04599095,-1.697963742,meng_4_151,4,151
-1.16E-06,0.000561034,-0.081517511,3.151020415,meng_2_233,2,233
-2.14E-07,2.80E-05,0.018301621,-2.099206589,zhong_2_88,2,88
-3.37E-07,7.25E-06,0.021743087,-1.2334698,zhong_2_49,2,49
3.71E-07,-0.000172562,0.032434957,-2.125371566,zhong_2_44,2,44
-8.88E-07,0.000266888,-0.00676624,-1.031351661,wang_1_499,1,499
-9.10E-07,0.000507044,-0.082174875,3.197463797,zhong_2_164,2,164
-3.16E-07,9.53E-05,0.007192051,-1.768515291,zhong_2_162,2,162
-4.84E-07,0.00031092,-0.05912527,2.758391249,zhong_3_210,3,210
-5.40E-09,2.11E-05,-0.016603953,1.83906268,zhong_3_213,3,213
2.36E-07,-8.39E-05,-0.004826169,1.60427515,zhong_3_219,3,219
-3.34E-07,0.000107471,0.004691906,-1.635946698,zhong_1_96,1,96
1.93E-08,1.26E-06,-0.013106269,1.742895739,zhong_4_328,4,328
2.57E-07,-0.000239317,0.053876309,-2.607011539,zhong_1_216,1,216
-1.27E-07,1.83E-05,0.015295484,-1.936661408,wang_1_400,1,400
