slope,height,strength,duration,tone,pitch_con,numPoints
-47,1.184879819,41,138.8407474,2,meng_2_2,11
-47,1.184879819,41,138.8407474,2,meng_2_2,11
-47,1.184879819,41,138.8407474,2,meng_2_2,11
-47,1.184879819,41,138.8407474,2,meng_2_2,11
-47,1.184879819,41,138.8407474,2,meng_2_2,11
-47,1.184879819,41,138.8407474,2,meng_2_2,11
-47,1.184879819,41,138.8407474,2,meng_2_2,11
-47,1.184879819,41,138.8407474,2,meng_2_2,11
-47,1.184879819,41,138.8407474,2,meng_2_2,11
-47,1.184879819,41,138.8407474,2,meng_2_2,11
-47,1.184879819,41,138.8407474,2,meng_2_2,11
29,-0.943493398,80,102.6078846,3,meng_3_4,8
29,-0.943493398,80,102.6078846,3,meng_3_4,8
29,-0.943493398,80,102.6078846,3,meng_3_4,8
29,-0.943493398,80,102.6078846,3,meng_3_4,8
29,-0.943493398,80,102.6078846,3,meng_3_4,8
29,-0.943493398,80,102.6078846,3,meng_3_4,8
29,-0.943493398,80,102.6078846,3,meng_3_4,8
29,-0.943493398,80,102.6078846,3,meng_3_4,8
-31,0.603505699,80,87.99871775,1,meng_1_7,7
-31,0.603505699,80,87.99871775,1,meng_1_7,7
-31,0.603505699,80,87.99871775,1,meng_1_7,7
-31,0.603505699,80,87.99871775,1,meng_1_7,7
-31,0.603505699,80,87.99871775,1,meng_1_7,7
-31,0.603505699,80,87.99871775,1,meng_1_7,7
-31,0.603505699,80,87.99871775,1,meng_1_7,7
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-18,-2.236292331,60,211.6428489,4,meng_4_9,16
-8,-2.314079542,80,168.4998113,2,meng_2_18,13
-8,-2.314079542,80,168.4998113,2,meng_2_18,13
-8,-2.314079542,80,168.4998113,2,meng_2_18,13
-8,-2.314079542,80,168.4998113,2,meng_2_18,13
-8,-2.314079542,80,168.4998113,2,meng_2_18,13
-8,-2.314079542,80,168.4998113,2,meng_2_18,13
-8,-2.314079542,80,168.4998113,2,meng_2_18,13
-8,-2.314079542,80,168.4998113,2,meng_2_18,13
-8,-2.314079542,80,168.4998113,2,meng_2_18,13
-8,-2.314079542,80,168.4998113,2,meng_2_18,13
-8,-2.314079542,80,168.4998113,2,meng_2_18,13
-8,-2.314079542,80,168.4998113,2,meng_2_18,13
-8,-2.314079542,80,168.4998113,2,meng_2_18,13
-3,-1.448912505,78,81.76081809,3,meng_3_30,6
-3,-1.448912505,78,81.76081809,3,meng_3_30,6
-3,-1.448912505,78,81.76081809,3,meng_3_30,6
-3,-1.448912505,78,81.76081809,3,meng_3_30,6
-3,-1.448912505,78,81.76081809,3,meng_3_30,6
-3,-1.448912505,78,81.76081809,3,meng_3_30,6
7,0.293863646,44,140.991671,1,meng_1_33,11
7,0.293863646,44,140.991671,1,meng_1_33,11
7,0.293863646,44,140.991671,1,meng_1_33,11
7,0.293863646,44,140.991671,1,meng_1_33,11
7,0.293863646,44,140.991671,1,meng_1_33,11
7,0.293863646,44,140.991671,1,meng_1_33,11
7,0.293863646,44,140.991671,1,meng_1_33,11
7,0.293863646,44,140.991671,1,meng_1_33,11
7,0.293863646,44,140.991671,1,meng_1_33,11
7,0.293863646,44,140.991671,1,meng_1_33,11
7,0.293863646,44,140.991671,1,meng_1_33,11
20,0.60846689,15,192.005197,1,meng_1_35,15
20,0.60846689,15,192.005197,1,meng_1_35,15
20,0.60846689,15,192.005197,1,meng_1_35,15
20,0.60846689,15,192.005197,1,meng_1_35,15
20,0.60846689,15,192.005197,1,meng_1_35,15
20,0.60846689,15,192.005197,1,meng_1_35,15
20,0.60846689,15,192.005197,1,meng_1_35,15
20,0.60846689,15,192.005197,1,meng_1_35,15
20,0.60846689,15,192.005197,1,meng_1_35,15
20,0.60846689,15,192.005197,1,meng_1_35,15
20,0.60846689,15,192.005197,1,meng_1_35,15
20,0.60846689,15,192.005197,1,meng_1_35,15
20,0.60846689,15,192.005197,1,meng_1_35,15
20,0.60846689,15,192.005197,1,meng_1_35,15
20,0.60846689,15,192.005197,1,meng_1_35,15
-12,-0.93866198,40,170.7389941,4,meng_4_36,13
-12,-0.93866198,40,170.7389941,4,meng_4_36,13
-12,-0.93866198,40,170.7389941,4,meng_4_36,13
-12,-0.93866198,40,170.7389941,4,meng_4_36,13
-12,-0.93866198,40,170.7389941,4,meng_4_36,13
-12,-0.93866198,40,170.7389941,4,meng_4_36,13
-12,-0.93866198,40,170.7389941,4,meng_4_36,13
-12,-0.93866198,40,170.7389941,4,meng_4_36,13
-12,-0.93866198,40,170.7389941,4,meng_4_36,13
-12,-0.93866198,40,170.7389941,4,meng_4_36,13
-12,-0.93866198,40,170.7389941,4,meng_4_36,13
-12,-0.93866198,40,170.7389941,4,meng_4_36,13
-12,-0.93866198,40,170.7389941,4,meng_4_36,13
-25,-3.205432886,34,204.6567934,4,meng_4_39,16
-25,-3.205432886,34,204.6567934,4,meng_4_39,16
-25,-3.205432886,34,204.6567934,4,meng_4_39,16
-25,-3.205432886,34,204.6567934,4,meng_4_39,16
