1st,2nd,3rd,pitch,pitch_con,tone,sort,duration,1st_norm,2nd_norm,3rd_norm,pitch,pitch_con,slope,height,strength,duration,tone,pitch_con,numPoints,previous_tone,this_tone,tone,sort
-41.98589725,94.86885896,-19.7526643,267.7309878,meng_2_2,2,2,136.363637,-106.4631144,176.4090369,-26.93545145,267.7309878,meng_2_2,-47,1.184879819,41,138.8407474,2,meng_2_2,11,empty,2,2,2
-61.13541341,99.10968181,-38.17701536,245.6959007,meng_3_4,3,4,95.454546,-53.17196406,90.30448384,-36.44169669,245.6959007,meng_3_4,29,-0.943493398,80,102.6078846,3,meng_3_4,8,2,3,3,4
-58.03700475,96.24562709,-44.45959812,281.7493133,meng_1_7,1,7,81.818182,-31.78736044,64.42889115,-36.37603491,281.7493133,meng_1_7,-31,0.603505699,80,87.99871775,1,meng_1_7,7,5,1,1,7
7.134677886,-26.21677841,2.95014118,275.1790797,meng_4_9,4,9,204.545454,61.05818155,-109.6879669,6.03437967,275.1790797,meng_4_9,-18,-2.236292331,60,211.6428489,4,meng_4_9,16,1,4,4,9
13.38438839,-20.99036226,0.411239626,122.8600274,meng_2_18,2,18,163.636364,58.64594561,-56.20559837,0.672937572,122.8600274,meng_2_18,-8,-2.314079542,80,168.4998113,2,meng_2_18,13,empty,2,2,18
-20.9841764,28.94199964,-26.14244062,252.2523692,meng_3_30,3,30,68.181819,-6.65116434,13.45444231,-17.82439154,252.2523692,meng_3_30,-3,-1.448912505,78,81.76081809,3,meng_3_30,6,empty,3,3,30
37.62589291,-68.24114911,17.50178878,278.3723318,meng_1_33,1,33,136.363637,95.40750589,-126.8946999,23.86607571,278.3723318,meng_1_33,7,0.293863646,44,140.991671,1,meng_1_33,11,5,1,1,33
1.824864123,-0.403201981,3.627148504,271.4575862,meng_1_35,1,35,190.909091,12.69727022,-1.469521271,6.924556239,271.4575862,meng_1_35,20,0.60846689,15,192.005197,1,meng_1_35,15,1,1,1,35
22.6391835,-63.22527385,20.75783119,288.9298445,meng_4_36,4,36,163.636363,99.19738291,-169.2974262,33.96736,288.9298445,meng_4_36,-12,-0.93866198,40,170.7389941,4,meng_4_36,13,1,4,4,36
-3.724643548,-5.266335339,23.78522273,221.7032727,meng_4_39,4,39,204.545455,-31.87529542,-22.03373783,48.65159206,221.7032727,meng_4_39,-25,-3.205432886,34,204.6567934,4,meng_4_39,16,5r,4,4,39
-33.1464825,52.2190677,-22.47423576,256.765566,meng_2_45,2,45,122.727273,-61.27180874,78.6522738,-27.58201668,256.765566,meng_2_45,-10,-0.760856334,80,133.4074283,2,meng_2_45,10,empty,2,2,45
3.604616941,9.525381353,-33.96885689,257.4602688,meng_3_47,3,47,95.454545,3.135082364,8.679118051,-32.42481779,257.4602688,meng_3_47,-16,-1.838831849,60,111.2977374,3,meng_3_47,8,2,3,3,47
-24.08912408,40.11271314,-21.02987875,260.4394287,meng_1_51,1,51,68.181818,-7.63531115,18.64743886,-14.33855366,260.4394287,meng_1_51,-41,-0.116828712,80,76.09667465,1,meng_1_51,6,5,1,1,51
-16.16413932,31.95820626,-39.81314345,274.7307525,meng_4_53,4,53,122.727273,-29.87967283,48.13539765,-48.86158525,274.7307525,meng_4_53,-22,-1.354991958,80,124.487223,4,meng_4_53,10,1,4,4,53
-21.66335862,66.23329507,-60.24639679,246.2475815,meng_4_54,4,54,177.272727,-120.6845195,208.1422345,-106.8004305,246.2475815,meng_4_54,-70,14.77986004,10,194.8696701,4,meng_4_54,14,4,4,4,54
