1st_norm,2nd_norm,3rd_norm,pitch,pitch_con,tone,sort
46.17630991,-134.4746976,151.8138219,288.348914,shuo_1_2,1,2
-1311.809021,2393.282761,-863.4427075,270.5952769,shuo_4_4,4,4
154.9690506,-147.9420488,89.80150714,221.5901912,shuo_2_6,2,6
157.0339129,-93.87963747,4.420122376,223.2727369,shuo_2_8,2,8
692.7965583,-1038.179669,223.0369118,351.5654044,shuo_4_11,4,11
-321.8136331,328.6198433,75.19739525,218.7638715,shuo_1_12,1,12
100.6464347,39.44400218,-82.72137831,256.7601241,shuo_2_14,2,14
718.0645263,-830.4202553,-30.92081983,366.9097516,shuo_3_16,3,16
806.0618214,-1088.074222,206.8300896,305.9994003,shuo_4_18,4,18
409.1362514,-715.0137512,171.7909635,361.3901053,shuo_4_20,4,20
43.62704276,56.08078853,-33.1923504,213.3543854,shuo_2_22,2,22
275.5994128,-442.1657213,49.0569274,334.1804912,shuo_4_24,4,24
82.44477246,-119.7011724,55.13440114,297.7599508,shuo_1_26,1,26
-64.94082241,151.1525356,-94.11022982,361.2124556,shuo_1_28,1,28
-37.13087137,29.91633675,-108.9099047,375.2506405,shuo_4_30,4,30
-20.01507632,0.020255371,-9.270783427,356.8122538,shuo_1_32,1,32
-121.2920688,336.0556439,-309.4022527,274.6939586,shuo_2_34,2,34
-1388.685048,591.1174909,593.7570203,132.7071479,shuo_3_36,3,36
792.9822959,-1013.67084,74.80365628,362.2268182,shuo_4_38,4,38
82.16915099,-83.59570772,-2.741706322,329.863625,shuo_1_40,1,40
9.705892054,70.13633389,-107.4474924,346.1356964,shuo_1_42,1,42
-58.27823978,125.4428047,-76.35057426,226.1781134,shuo_2_44,2,44
104.3572811,-152.5110935,44.21091705,319.3766751,shuo_1_46,1,46
22.94423575,235.1107474,-198.3072651,236.8465187,shuo_2_48,2,48
43.83757226,7.305475858,-49.58482524,330.6813913,shuo_1_50,1,50
-27.1850774,173.8974489,-132.8254924,229.0787474,shuo_2_52,2,52
170.3614222,-33.61712081,-43.63469054,205.9656043,shuo_2_54,2,54
50.08559155,-80.19000025,-176.911445,292.6858465,shuo_3_56,3,56
2006.068228,-2341.337938,548.2210635,328.2900539,shuo_4_58,4,58
-685.0904477,1726.227814,-869.8595195,310.5869499,shuo_3_60,3,60
361.9150512,-521.3696519,-1.980893701,370.7659233,shuo_4_62,4,62
1903.242873,-1702.179312,158.0921469,260.559561,shuo_3_64,3,64
-42.63067702,96.58979662,-57.95530617,291.0009621,shuo_1_66,1,66
1.550850424,1735.82061,-1642.638556,544.9660368,shuo_3_68,3,68
132.2241601,-151.3139547,44.12390505,288.9785686,shuo_1_70,1,70
-505.7826099,791.6782916,-468.0697069,277.8447206,shuo_3_72,3,72
156.5232684,-23.6898873,-61.9088214,193.6446457,shuo_2_74,2,74
-1667.082575,3333.274213,-2109.811567,598.2929139,shuo_3_76,3,76
54.77839291,87.07385085,-75.66643064,185.9045783,shuo_2_78,2,78
325.9175632,-563.6535101,102.6315138,377.984002,shuo_4_80,4,80
694.257279,-896.6331235,97.08495778,217.370145,shuo_3_82,3,82
163.0278862,-359.0574162,117.1328441,351.5584962,shuo_4_84,4,84
4272.527152,-7423.347874,3256.429073,126.9491087,shuo_3_86,3,86
1341.063142,-969.1371473,-55.45706477,276.9155065,shuo_3_88,3,88
651.1935335,-823.5985225,-23.40669837,409.9358771,shuo_4_90,4,90
-129.6004272,354.1166812,-343.1618227,287.8618297,shuo_3_92,3,92
3013.319993,-4255.99957,1542.954156,212.9079491,shuo_4_94,4,94
-345.0238116,384.969681,-229.6639355,243.4661627,shuo_3_96,3,96
364.3025043,-502.5885347,-88.314349,391.5598929,shuo_4_98,4,98
114.1251901,-78.25807587,-99.70932524,232.8058998,shuo_3_100,3,100
-155.145969,71.22821718,-195.2925649,374.9869938,shuo_4_102,4,102
348.0713064,-419.6379982,-63.2490735,376.4874758,shuo_4_104,4,104
815.6271735,-1187.752224,144.5604544,331.7268746,shuo_4_106,4,106
186.2646028,-217.457265,-77.03363939,350.6047095,shuo_4_108,4,108
594.6079777,164.5696554,-431.7826412,378.923252,shuo_4_110,4,110
