1st,2nd,3rd,pitch,pitch_con,tone,sort,duration,1st_norm,2nd_norm,3rd_norm,pitch,pitch_con,slope,height,strength,duration_raw,tone,prev_tone,this_tone,tone,sort
12.01995341,-16.45834104,17.98072676,215.5468036,wang_1_138,1,138,122.72727,22.21907655,-24.78952497,22.06725508,215.5468036,wang_1_138,79,-2.624725897,12,132.9529233,1,empty,1,1,138
-13.77125648,40.59199275,-40.0073988,234.2717306,wang_1_170,1,170,177.27273,-237.4778197,374.4747057,-189.8565034,270.1265443,wang_1_140,-16,0.874655165,80,112,1,empty,1,1,140
-25.25385881,-11.19635441,65.7694099,200.2032836,wang_1_873,1,873,81.8182,-8.234045557,33.17963625,-38.42188958,238.4036305,wang_1_142,78,-2.999183771,39,54.74532134,1,empty,1,1,142
-12.01523442,19.57568363,0.833287638,219.1297408,wang_1_972,1,972,177.2727,-15.52530196,17.17832372,3.941170196,224.9150264,wang_1_143,-38,-0.057456207,80,87.00595714,1,1,1,1,143
-6.125746714,25.68963527,-32.35053334,249.7968063,wang_1_850,1,850,190.9091,-672.2103206,724.0743009,-187.2501266,209.6237628,wang_1_163,19,-0.318245223,22,143.0564006,1,empty,1,1,163
27.92632422,-85.76732552,77.85021368,230.2359572,wang_1_853,1,853,150,-76.7183697,127.5628572,-70.92220805,234.2717306,wang_1_170,-8,-0.06231453,40,178.2842118,1,empty,1,1,170
-34.01510653,78.53619343,-72.04961279,272.9033201,wang_1_852,1,852,136.3636,-61.93234869,66.64765007,-12.80224659,220.0170243,wang_1_187,-23,-0.919684419,61,148.7644602,1,empty,1,1,187
-46.53671631,69.77277174,-41.43954206,239.1235244,wang_1_937,1,937,95.4545,38.01522636,12.28303188,-14.29878813,204.5860451,wang_1_204,28,0.659964292,23,150.7917188,1,empty,1,1,204
-6.683016073,-1.857163424,14.49335087,206.0968092,wang_1_816,1,816,136.3636,-1.092983881,27.80638125,-31.79824446,238.5269289,wang_1_632,12,1.325628388,56,115.072852,1,empty,1,1,632
17.86646679,-25.91497394,21.28835069,227.6895565,wang_1_819,1,819,122.7273,68.15845612,-112.2196279,0.855257381,235.886564,wang_4_633,96,-6.754940686,19,189.9396266,4,1,4,4,633
31.38527888,-17.23159445,-33.14069926,254.3653213,wang_1_1026,1,1026,109.0909,-41.79361245,54.75615518,-36.70326781,240.6356621,wang_1_649,-24,0.026354982,80,136.8752993,1,empty,1,1,649
