1st,2nd,3rd,pitch,pitch_con,tone,sort,duration,1st_norm,2nd_norm,3rd_norm,pitch,pitch_con,slope,height,strength,duration_raw,tone,prev_tone,this_tone,tone,sort
-29.11980142,57.28743764,-26.53216671,126.9669887,zhong_2_2,2,2,136.363636,-73.8387145,106.5262264,-36.18022724,126.9669887,zhong_2_2,-3,-0.854059385,28,141.9753062,2,empty,2,2,2
-13.038463,41.83098938,-48.41005875,123.7764462,zhong_3_4,3,4,95.454546,-11.34008339,38.11460026,-46.2096018,123.7764462,zhong_3_4,13,-2.444721467,49,176,3,2,3,3,4
7.036563032,-10.10447913,5.265521893,105.3843595,zhong_2_6,2,6,136.363633,17.84252327,-18.78931977,7.18025695,105.3843595,zhong_2_6,8,-2.528501104,50,148.3941704,2,5,2,2,6
-3.544227407,6.228376844,0.948057568,111.911768,zhong_2_7,2,7,150,-11.9617675,14.0138479,1.422086352,111.911768,zhong_2_7,-53,3.580441759,14,159.196675,2,2,2,2,7
3.809629074,-3.296210691,-7.009748166,114.8028464,zhong_2_8,2,8,163.63636,16.69252838,-8.826216664,-11.47049674,114.8028464,zhong_2_8,55,-7.529312019,14,170.3681718,2,2,2,2,8
5.160908904,-18.9628426,10.62152413,111.6780209,zhong_4_9,4,9,122.72728,9.540025171,-28.56180557,13.03550765,111.6780209,zhong_4_9,-16,-3.256244069,40,125.5942252,4,2,4,4,9
6.351833939,-6.023281591,-2.547666685,106.5355036,zhong_2_10,2,10,122.72727,11.74146686,-9.072256374,-3.126681771,106.5355036,zhong_2_10,2,-3.331335836,36,133.0583154,2,4,2,2,10
1.571820622,-5.224277999,0.147949301,107.2447203,zhong_4_11,4,11,136.36364,3.985646148,-9.714567044,0.201749052,107.2447203,zhong_4_11,-95,-2.088985993,20,138.152374,4,2,4,4,11
-2.283779844,9.408686539,-5.23879549,94.23376219,zhong_2_14,2,14,136.36364,-5.79095236,17.49549243,-7.143812222,94.23376219,zhong_2_14,58,-2.944061048,80,149.2563865,2,empty,2,2,14
14.11183378,-33.72708726,23.48963799,98.41000899,zhong_2_16,2,16,109.09091,18.32099879,-40.13802187,25.62505984,98.41000899,zhong_2_16,-11,-4.1949267,70,119.3293848,2,5,2,2,16
42.66154312,-14.83625482,-15.47434087,101.7229858,zhong_3_18,3,18,27.27272,0.865410025,-1.103522497,-4.220273658,101.7229858,zhong_3_18,64,-10.68532818,26,63.14683257,3,2,3,3,18
36.78632421,-44.53884161,5.871563006,102.0693076,zhong_4_21,4,21,81.81818,20.14818074,-29.81525628,4.804005989,102.0693076,zhong_4_21,91,-11.17690735,25,107.3071552,4,empty,4,4,21
-2.094074287,2.446379833,5.540087327,96.43570184,zhong_1_22,1,22,177.27272,-11.66588818,7.68789963,9.821063495,96.43570184,zhong_1_22,-2,-3.924914113,44,187.0728233,1,4,1,1,22
-11.80313,20.15553287,-1.47409912,102.0583178,zhong_2_23,2,23,136.36363,-29.92904445,37.47929317,-2.01013507,102.0583178,zhong_2_23,1,-2.736264356,48,148.7551106,2,1,2,2,23
39.89261312,2.175036837,-28.04794419,111.5222496,zhong_3_25,3,25,54.54546,6.47393465,0.647118527,-15.29888018,111.5222496,zhong_3_25,-6,-3.652252179,80,69.85178534,3,2,3,3,25
