1st,2nd,3rd,4th,speaker,pitch_con,syl,tone,prevsyl
5.076710118232213e-06,-0.00033847691697901647,0.006421835114817124,1.327009743560721,s1,_HHAA1_s1_1,1,1,none
-4.744291326618538e-06,0.00011767502319357968,0.0007939442141621187,1.2835542167903973,s1,_HHAA2_s1_1,1,1,none
-3.741735203540324e-06,0.00013707486689701424,-0.0010745538303318424,1.2889962551784233,s1,_HHAA3_s1_1,1,1,none
-5.787139462532874e-07,-3.3429386276178044e-05,0.0016608122423578523,1.2627129883807438,s1,_HHAA4_s1_1,1,1,none
-6.790522116014932e-07,2.6834518616835907e-06,-0.00036054957190598356,1.3068536513207945,s1,_HHAA5_s1_1,1,1,none
-1.0251296237379456e-05,0.0004571716761697545,-0.004050087387515978,1.3364111767728342,s1,_HHAB1_s1_1,1,1,none
-8.61201332367159e-06,0.00034868088631212024,-0.0037494080146031382,1.3721606207493882,s1,_HHAB2_s1_1,1,1,none
-1.0451682118823042e-05,0.00036172104228337495,-0.0013574023319989834,1.3322751050497992,s1,_HHAB3_s1_1,1,1,none
-1.0197996656254084e-05,0.0004017508249698847,-0.0033700208341854495,1.3200157753633426,s1,_HHAB4_s1_1,1,1,none
-1.3479570763791542e-05,0.00048757693680544527,-0.0031944204914715964,1.3408080423912017,s1,_HHAB5_s1_1,1,1,none
-2.1594182291304214e-05,0.0008736905400438619,-0.006081184910515673,1.3572752014839988,s1,_HHAC1_s1_1,1,1,none
-3.6000864298839986e-06,0.00013603830278746183,-0.0004936859141961811,1.391184703176878,s1,_HHAC2_s1_1,1,1,none
-8.614839539526954e-06,0.0003237855165753121,-0.002871286215592773,1.3862861031724172,s1,_HHAC3_s1_1,1,1,none
-9.435376409087591e-06,0.00036505574624427713,-0.0025851203593940187,1.3919937860428093,s1,_HHAC4_s1_1,1,1,none
-8.32743241442293e-06,0.0002776081419086282,-0.0002847957783034584,1.3556340335112735,s1,_HHAC5_s1_1,1,1,none
-6.975311787466592e-06,0.00026855901554412147,-0.0019780353244093617,1.3738869659240438,s1,_HHAD1_s1_1,1,1,none
1.952313016751383e-06,-0.00012094268344377367,0.0009359481096199049,1.366068261658903,s1,_HHAD2_s1_1,1,1,none
-5.732979989906317e-06,0.0003042305989473479,-0.0030421872915460764,1.3129284085078712,s1,_HHAD3_s1_1,1,1,none
-5.072359256856978e-07,-2.4620269017959755e-05,0.0005597853965135031,1.3533595356431711,s1,_HHAD4_s1_1,1,1,none
1.5350658052979073e-06,-7.866211071526195e-05,0.0006496433760691649,1.3707281036917125,s1,_HHAD5_s1_1,1,1,none
2.8483484186314978e-06,4.460137268746096e-05,-0.004892893107453455,1.3396848175745053,s1,_HHBA1_s1_1,1,2,none
2.4037162198025138e-06,9.772500491310953e-05,-0.006424041355808153,1.3098875196505217,s1,_HHBA2_s1_1,1,2,none
-9.698557954899076e-07,0.0003209650268029242,-0.009157660521355557,1.2939620325146404,s1,_HHBA3_s1_1,1,2,none
-8.336574016002999e-07,0.00023066412476055494,-0.0071164127249699425,1.2851847630159228,s1,_HHBA4_s1_1,1,2,none
-3.6601798113987406e-06,0.00035663481237929896,-0.00839211365112688,1.290585230015243,s1,_HHBA5_s1_1,1,2,none
-9.62138375380988e-06,0.0006707852487887981,-0.011611861573071756,1.2814725031850254,s1,_HHBB1_s1_1,1,2,none
9.733979454447416e-07,0.00010018228770732647,-0.0037093972141708413,1.291506602192728,s1,_HHBB2_s1_1,1,2,none
-1.1316457605893672e-05,0.000720350840961105,-0.011942636005371182,1.2969634646625319,s1,_HHBB3_s1_1,1,2,none
-2.556299182887304e-06,0.00031919651392922264,-0.0078051826064933945,1.2907973462767734,s1,_HHBB4_s1_1,1,2,none
-4.3083742779524e-06,0.00038686725341472073,-0.008993742326338497,1.3298733265339422,s1,_HHBB5_s1_1,1,2,none
-4.872797962429834e-06,0.0006423917746506048,-0.01527844214490601,1.3621260934207795,s1,_HHBC1_s1_1,1,2,none
-3.572966760127883e-06,0.0004519555715189328,-0.010700091368246494,1.360165570366104,s1,_HHBC2_s1_1,1,2,none
-6.064146022386926e-06,0.0005564351084475035,-0.010005524792527679,1.3237619926930333,s1,_HHBC3_s1_1,1,2,none
-7.726368117666954e-06,0.0007620638763820435,-0.016660509918773513,1.3545847274105416,s1,_HHBC4_s1_1,1,2,none
-1.0581846005608798e-05,0.0008725013071512381,-0.018004028268239415,1.374280705448417,s1,_HHBC5_s1_1,1,2,none
6.032796756187209e-07,0.00028216105159749815,-0.01079176764248102,1.3317827397930488,s1,_HHBD1_s1_1,1,2,none
6.45667452284476e-08,0.0003755761810441199,-0.012675584960405837,1.3143406154631392,s1,_HHBD2_s1_1,1,2,none
2.9440055989761465e-06,0.00021080264432069825,-0.010368640754962953,1.3212937187748242,s1,_HHBD3_s1_1,1,2,none
9.080030817470305e-06,-1.7881609929566255e-05,-0.008842755880446888,1.3182423053292323,s1,_HHBD4_s1_1,1,2,none
2.280402941176851e-06,0.00024130363759928755,-0.010887465346243543,1.323422891332928,s1,_HHBD5_s1_1,1,2,none
1.0785911380393689e-05,0.00013461997349671935,-0.025855728017237203,1.407507115972252,s1,_HHCA1_s1_1,1,3,none
2.4935788279527005e-05,-0.0007254850073070302,-0.010994360479480016,1.3655534111507046,s1,_HHCA2_s1_1,1,3,none
1.7214867815567615e-05,-0.0004123126802267491,-0.012959725252946438,1.323353583685006,s1,_HHCA3_s1_1,1,3,none
2.1176937060951944e-05,-0.0005421851562377324,-0.012673019799969142,1.318571916455593,s1,_HHCA4_s1_1,1,3,none
1.4654662451582512e-05,-0.00026738407921245416,-0.014234313152138498,1.3042905508278817,s1,_HHCA5_s1_1,1,3,none
2.0339684613338008e-05,-0.0005290038446916006,-0.0139537112413302,1.344962202180419,s1,_HHCB1_s1_1,1,3,none
2.2658690111679562e-05,-0.0006101336372525877,-0.013359752869077902,1.3387552657877262,s1,_HHCB2_s1_1,1,3,none
2.3954924595124318e-05,-0.0007627815677842994,-0.009327916938167483,1.3306203489826227,s1,_HHCB3_s1_1,1,3,none
2.242192144103576e-05,-0.000799520279572289,-0.006141548965518273,1.3025233087678962,s1,_HHCB4_s1_1,1,3,none
1.3518291281988494e-05,-0.00027714892057934557,-0.013424048263318911,1.2929804638349454,s1,_HHCB5_s1_1,1,3,none
-1.107233604052866e-05,0.0009812651834931665,-0.02005022576271137,1.3437830416066385,s1,_HHCC1_s1_1,1,3,none
-1.1620740428465166e-06,0.0007273450996927236,-0.021428418116353008,1.350556029424668,s1,_HHCC2_s1_1,1,3,none
-5.111280026346425e-06,0.0006875524640236229,-0.017746065916610432,1.3110112402575191,s1,_HHCC3_s1_1,1,3,none
6.466303317164539e-07,0.00033038016840348107,-0.01073591300783292,1.298318386014404,s1,_HHCC4_s1_1,1,3,none
-3.6419760453649194e-06,0.0007811342845456109,-0.020898952632322856,1.3381345165486545,s1,_HHCC5_s1_1,1,3,none
