time,pitch,pitch_con,duration,artist,role_type,shengqiang,tone,word
1,452.6611022949219,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
2,455.8096923828125,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
3,457.3921813964844,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
4,457.3921813964844,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
5,456.07305908203125,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
6,454.4950866699219,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
7,452.399658203125,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
8,450.31390380859375,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
9,454.232666015625,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
10,457.9208984375,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
11,460.5736999511719,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
12,468.3540344238281,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
13,475.71588134765625,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
14,483.1933898925781,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
15,494.2023620605469,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
16,501.39093017578125,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
17,507.5100402832031,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
18,507.80328369140625,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
19,505.1701965332031,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
20,497.9274597167969,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
21,486.83551025390625,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
22,472.975830078125,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
23,464.0452880859375,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
24,456.3365783691406,1_6_3,0.759582367545022,Chen Junjie,J,X,1,yi1
