1st,2nd,3rd,4th,speaker,syl,tone,prev,pitch_con
-3.295749520660651e-05,0.0005770220555832524,0.01962257373230518,-0.24846686400043586,s3,2,4,3,_HHCD5_s3_2
3.80804596602001e-05,-0.0013772588580625274,-0.004598433931436735,0.23087689636908407,s3,1,3,none,_HHCD5_s3_1
-1.0156003795508082e-06,0.00023093467207813606,-0.008983609480612347,0.07378297586847803,s1,2,2,1,_LHAB4_s1_2
-6.755047314088547e-06,0.00013177382173084086,0.005160341957004935,-0.07282901296612007,s1,1,1,none,_LHAB4_s1_1
-2.2316946663569415e-05,0.0007140866565137474,0.002595138123223198,-0.1044315590768659,s3,1,1,none,_LHAB4_s3_1
2.1787606159902545e-05,-0.0002981226907578249,-0.017141408955651465,0.20261600211894137,s3,2,2,1,_LHAB4_s3_2
2.1976716536012206e-05,-0.00032095643619992927,-0.014537907549954009,0.16809515273332373,s3,2,2,2,_LHBB5_s3_2
9.344778786825827e-06,6.886224192086559e-05,-0.0025881057116782964,-0.04893993782042643,s2,1,2,none,_LHBA1_s2_1
1.8676018320502408e-05,-0.00043442487570309433,-0.013064732274550296,0.20481218820293393,s1,1,3,none,_HHCD5_s1_1
-1.1933471799592335e-05,-0.00012806108983205044,0.021922869198202608,-0.21343338776451087,s1,2,4,3,_HHCD5_s1_2
6.849128763046372e-06,-0.0004860386916079526,0.011631353915646998,-0.07646788694707864,s2,2,1,2,_LHBA1_s2_2
4.358101281246857e-05,-0.0018264201929527855,0.0038224889998475526,0.20226803480211594,s3,1,3,none,_HHCD3_s3_1
-2.0948500913486068e-05,0.0002929121615426514,0.017362227482522467,-0.2104443552246731,s3,2,4,3,_HHCD3_s3_2
-2.1542790558236213e-05,0.00025654501042601016,0.021541755541139202,-0.2594819837251012,s3,2,4,3,_LLCD1_s3_2
2.812072079175294e-05,-0.0012771442371204034,0.004442583272327221,0.1309731562381496,s3,1,3,none,_LLCD1_s3_1
1.3583947868587719e-05,-0.0010379935383423536,0.011179095550540526,0.05595867820467457,s1,1,4,none,_HLDB3_s1_1
-5.5851534071181895e-06,0.0006766204947747364,-0.013467421398637932,0.035751798924187755,s1,2,2,4,_HLDB3_s1_2
-1.8981393112123162e-05,0.00017580693554527558,0.007076346921128415,-0.02828347227454871,s2,1,4,none,_LLDC5_s2_1
6.989105027792584e-06,-0.00021330568733780191,-0.002919371288173168,0.06210312293816636,s1,1,3,none,_LLCD1_s1_1
-2.3718631116541944e-05,-0.0005019319225836738,0.040484084845222694,-0.2983590703941881,s1,2,4,3,_LLCD1_s1_2
-1.0704932594164924e-05,0.000958829323837139,-0.02759493473689794,0.2026862481983566,s2,2,3,4,_LLDC5_s2_2
-1.298819556826337e-05,0.00018678175416498416,0.011326272977523867,-0.14081219444769275,s2,2,1,2,_HLBA4_s2_2
9.295117842321926e-06,0.00037119782047158523,-0.027882361894176907,0.24819286775924537,s3,2,2,1,_HHAB1_s3_2
9.372057615522734e-06,0.00014179989024175845,-0.01338913416585621,0.095291875565697,s2,1,2,none,_HLBA4_s2_1
-1.7438040274507018e-05,0.00090244943556314,0.004137295355387412,-0.22286538317164553,s2,1,1,none,_LLAB3_s2_1
8.274315308345426e-05,-0.003484816361222382,0.021388140164821014,0.17041050810819938,s2,2,2,1,_LLAB3_s2_2
3.341242507673953e-05,-0.0011177454099928056,-0.002525899802381399,0.15060748824571135,s3,2,2,1,_LLAB4_s3_2
-1.7523319431872007e-05,0.0006792204847120579,0.001487300769760287,-0.11082149322448406,s1,2,1,4,_LLDA2_s1_2
3.161943329074707e-06,0.0002914337625803925,-0.0057280121955503105,-0.025855725019863152,s2,1,2,none,_LLBB3_s2_1
-2.352913135900927e-06,2.951450599038843e-05,0.0028992762124227956,-0.03728214833685142,s2,2,2,2,_LLBB3_s2_2
6.909223496438345e-05,-0.0031699948214867937,0.018397438626246196,0.21593411902597873,s3,2,3,1,_LHAC1_s3_2
1.6966365417511445e-05,-0.0006036468331670479,-0.0018051524335755073,0.09594414422685478,s3,1,3,none,_LLCD4_s3_1
1.7214867815568194e-05,-0.0004123126802267711,-0.012959725252946216,0.2067467946914295,s1,1,3,none,_HHCA3_s1_1
-1.7574667333088208e-05,-0.00015703121836416217,0.025911230904859795,-0.22546365856765507,s3,2,4,3,_LLCD4_s3_2
2.2076925121145904e-06,-0.0003797791764546291,0.011485479512644456,-0.07424313911443771,s2,2,1,1,_LHAA3_s2_2
-1.7055020592470097e-05,0.0007299132754585761,-0.00013858467550052585,-0.10497221059154187,s2,1,1,none,_LHAA3_s2_1
-3.665985412473517e-06,0.0004992165871642831,-0.009850130805171286,0.02176318961928125,s1,2,2,4,_LHDB1_s1_2
3.29339775966649e-05,-0.0013288523980427933,0.005247818244163814,0.10009715447065273,s3,1,3,none,_LHCD2_s3_1
6.4661001650374205e-06,-0.0005716804099478285,0.005915754205759121,0.041876002073117036,s3,2,4,1,_HHAD3_s3_2
3.2389505927745605e-06,-0.00029781047814329484,0.007506008933183928,-0.04582793916694506,s3,1,1,none,_HHAD3_s3_1
-1.4475839978933768e-05,0.0004979748564728976,0.003349616337502879,-0.10452951218150448,s1,1,1,none,_LHAC1_s1_1
-7.094717004440304e-06,0.0008250648505459427,-0.011710074746827765,-0.02739160734506269,s1,1,3,none,_LHCC3_s1_1
1.6273681137416463e-05,-0.00013759499836622357,-0.021327433965217153,0.25664802664802494,s1,2,3,3,_LHCC3_s1_2
-5.732979989906125e-06,0.0003042305989473454,-0.0030421872915461223,-0.007408987472025179,s1,1,1,none,_HHAD3_s1_1
1.7890921312872696e-06,-0.0004890724188546204,0.006962182282540095,0.03333061709339018,s1,2,4,1,_HHAD3_s1_2
-1.2698014043827495e-05,0.00026715878699903634,0.013207668337147585,-0.1973974673740973,s2,1,1,none,_HHAB3_s2_1
7.195077257857672e-05,-0.0019934982332254314,-0.019997257556053052,0.4196564919302801,s2,2,2,1,_HHAB3_s2_2
2.3340810340182068e-05,-0.0006093937273759646,-0.016004412471166532,0.27190009252087743,s1,2,3,1,_LHAC1_s1_2
3.348207837422334e-06,-0.00012788525799944256,-0.0017465335547244773,0.04324423258949892,s1,1,3,none,_LLCB4_s1_1
3.5415454875753943e-07,0.00011353205488309442,-0.0006700081710883019,-0.027948961555623285,s1,2,2,3,_LLCB5_s1_2
-1.631505609217797e-06,0.0002136216047126599,-0.007302062651676145,0.057614638694144196,s1,1,3,none,_LLCB5_s1_1
3.709882383903605e-06,-0.00011097739918037024,-0.007947098642197002,0.1314174286470818,s3,1,3,none,_LLCB5_s3_1
-6.3242482612098185e-06,0.0006663612829624721,-0.007420580314805153,-0.049413850124856364,s3,2,2,3,_LLCB5_s3_2
5.637092333662066e-06,-0.0003954476549375449,0.009962954297676716,-0.07042321536104207,s3,2,1,2,_LLBA4_s3_2
1.161034099798577e-05,-0.00012158471270049272,-0.005554327377264992,0.04072999022406373,s3,1,2,none,_LLBA4_s3_1
-1.7489278745706344e-06,0.0003485512315159347,-0.004944385116232539,-0.020608362841866592,s1,1,2,none,_LLBA4_s1_1
-4.5397521877368647e-07,-0.00011287635344576191,0.007124430188476324,-0.07158177747108238,s1,2,1,2,_LLBA4_s1_2
9.916332800037084e-06,0.00024010624201833066,-0.006487756005691363,-0.04658523451082848,s2,1,3,none,_LLCC2_s2_1
7.081548672711524e-05,-0.0035532639949821484,0.027338892337689,0.18571491726534525,s2,2,3,3,_LLCC2_s2_2
-2.293095706239975e-05,0.0009312587688395455,-0.0027907439588187983,-0.08497031759032615,s2,2,1,4,_LHDA2_s2_2
-5.806554844830256e-06,0.0001338469037145392,0.00013148735031210095,-0.0023713923730890557,s2,1,4,none,_LHDA2_s2_1
1.362286499232987e-05,-0.0005280803173199029,0.0014744910016902038,0.04539190338357385,s2,2,2,2,_LHBB5_s2_2
-8.079719901810607e-06,0.0007847441851627237,-0.009582321799515429,-0.04056463993899617,s2,1,2,none,_LHBB5_s2_1
-1.452420787478457e-05,0.0009671741913670663,-0.02457325061853156,0.18074754686556166,s3,2,3,4,_LLDC3_s3_2
2.062496569357044e-05,-0.0011922930261597082,0.012197176105603254,0.03806034887140908,s1,1,4,none,_HHDD2_s1_1
5.337953659114164e-06,-0.0009939103851705614,0.02317561819920918,-0.08444796002621878,s1,2,4,4,_HHDD2_s1_2
-4.283572749255455e-05,0.0013403287262252694,-0.007157946136475967,-0.002740265864033336,s3,1,4,none,_LLDC3_s3_1
5.998778816989568e-06,-0.001120623877255526,0.023094166368530095,-0.04801248505396842,s1,1,4,none,_LLDC3_s1_1
-1.2209181948607182e-06,0.00021361585458087965,-0.009005892905627576,0.0810665110912789,s1,2,3,4,_LLDC3_s1_2
6.105923963919023e-06,-0.0004728687382544052,0.0031236195103560268,0.05660791462604875,s2,2,4,4,_HHDD5_s2_2
1.0946624936019422e-05,-0.0008074938984915322,0.006056291701304103,0.08172483974467441,s2,1,4,none,_HHDD5_s2_1
-1.5962910117139886e-05,0.0007251548658078888,0.0007219836983652793,-0.1246827145291627,s2,1,1,none,_LHAA5_s2_1
1.7744984174032684e-05,-0.000999853222407877,0.015268796252985793,-0.04944290809340411,s2,2,1,1,_LHAA5_s2_2
5.549730008299163e-06,-0.0001444470520564006,-0.003306523522533867,0.05677633147090093,s1,1,3,none,_LLCB3_s1_1
-7.344136802138517e-06,0.0006242774450497137,-0.0065482886192100255,-0.04232010183233279,s1,2,2,3,_LLCB3_s1_2
-6.7722902829511e-06,8.681261835369717e-05,0.013261919160407493,-0.1841089083230864,s2,1,1,none,_HHAA5_s2_1
-2.226956618306311e-07,-0.00015318197243982472,0.004625733136887074,-0.02181593299182059,s2,2,1,1,_HHAA5_s2_2
2.0454986576211606e-05,-0.0006395339816850323,-0.007710678445181813,0.17364599338000594,s3,2,3,4,_LHDC4_s3_2
-8.593544861621847e-06,-0.00019063358093801457,0.008704960169370293,-0.012907557776135885,s3,1,4,none,_LHDC4_s3_1
-9.861711946902815e-06,0.00045027964073018033,0.006292264527259605,-0.16836494475201708,s2,1,1,none,_LLAD5_s2_1
-9.246566820331605e-07,0.00017027784061700426,-0.006746853110516729,0.05757478681430408,s1,2,3,4,_LHDC4_s1_2
1.0109206749394056e-05,-0.000210723624197907,-0.010931748167056277,0.16299305116948842,s2,2,3,4,_LHDC3_s2_2
-2.7861155821690464e-05,0.0002902446787482006,0.013764106127649119,-0.10400981231253534,s2,1,4,none,_LHDC3_s2_1
-3.5838191150048526e-05,0.0008573147476561529,0.007909069553690392,-0.13448384667119073,s1,2,4,3,_HLCD5_s1_2
2.7920571320841842e-05,-0.0009000307342176056,0.004897917257233373,0.0065044511188306,s3,1,2,none,_LHBD2_s3_1
2.6774302633369812e-05,-0.0018393091532589452,0.02948498237361519,-0.0703040782189369,s3,2,4,2,_LHBD2_s3_2
2.1385605044633874e-05,-0.001796507377220403,0.020773224393614582,0.09007751526040621,s2,2,4,1,_HLAD4_s2_2
-6.110862267434034e-06,9.394616674423986e-05,0.010232670014971327,-0.14417104565841793,s2,1,1,none,_HLAD4_s2_1
3.03342855818555e-06,0.00019014511729487763,-0.01480226000161883,0.14764419089120062,s2,1,3,none,_LHCD3_s2_1
-2.8966006897209488e-05,0.0009874858323316881,0.0034505898320993243,-0.1559342658424394,s2,2,4,3,_LHCD3_s2_2
5.312392265105382e-06,1.8859602063788957e-05,-0.009252776238272517,0.09918504652537287,s2,1,3,none,_LHCD4_s2_1
1.2922962359617632e-06,-0.0008922132436976235,0.03236277838252505,-0.22974141607779816,s2,2,4,3,_LHCD4_s2_2
-3.653833066143849e-07,-6.2088990272896e-05,0.0027341253740312504,-0.02017706301405353,s1,1,1,none,_HLAA4_s1_1
-4.5543926816502045e-06,0.00011469736227349502,0.00019790308391915112,-0.006390497890949571,s1,2,1,1,_HLAA4_s1_2
1.4234353743835634e-05,-0.0014416882102364266,0.01812243281268217,0.07088025438757847,s2,1,4,none,_HLDB2_s2_1
-4.590214926374094e-06,-0.0007384110621546449,0.014597627804833195,0.039543296195999264,s2,1,4,none,_HHDC2_s2_1
-7.42748879324594e-07,0.0002843343270942551,-0.01934039620610321,0.2155168016531257,s2,2,3,4,_HHDC2_s2_2
-2.7241809930947226e-05,0.00046476406568365133,0.005995580746680689,-0.04306429786421275,s3,1,4,none,_LLDB4_s3_1
6.557560928508179e-05,-0.0023577898884481817,-0.016611267958229797,0.5279352292729209,s2,2,3,1,_HLAC2_s2_2
