time,pitch,Syllable1,Syllable2,Normtime,speaker,pitch_con
1,125.6224681,3,4,_HLCD5,s2,_HLCD5_s2_1
2,125.0877336,3,4,_HLCD5,s2,_HLCD5_s2_1
3,124.4371215,3,4,_HLCD5,s2,_HLCD5_s2_1
4,123.4692884,3,4,_HLCD5,s2,_HLCD5_s2_1
5,122.4978863,3,4,_HLCD5,s2,_HLCD5_s2_1
6,121.5233835,3,4,_HLCD5,s2,_HLCD5_s2_1
7,119.5711885,3,4,_HLCD5,s2,_HLCD5_s2_1
8,117.3336116,3,4,_HLCD5,s2,_HLCD5_s2_1
9,114.4999767,3,4,_HLCD5,s2,_HLCD5_s2_1
10,111.4820263,3,4,_HLCD5,s2,_HLCD5_s2_1
11,108.1027143,3,4,_HLCD5,s2,_HLCD5_s2_1
12,104.6753258,3,4,_HLCD5,s2,_HLCD5_s2_1
13,101.2165916,3,4,_HLCD5,s2,_HLCD5_s2_1
14,97.94837249,3,4,_HLCD5,s2,_HLCD5_s2_1
15,94.77535724,3,4,_HLCD5,s2,_HLCD5_s2_1
16,92.01523196,3,4,_HLCD5,s2,_HLCD5_s2_1
17,89.54598088,3,4,_HLCD5,s2,_HLCD5_s2_1
18,87.4987945,3,4,_HLCD5,s2,_HLCD5_s2_1
19,85.94752636,3,4,_HLCD5,s2,_HLCD5_s2_1
20,84.63443774,3,4,_HLCD5,s2,_HLCD5_s2_1
21,83.87493591,3,4,_HLCD5,s2,_HLCD5_s2_1
22,83.23684548,3,4,_HLCD5,s2,_HLCD5_s2_1
23,82.9285456,3,4,_HLCD5,s2,_HLCD5_s2_1
24,82.73441905,3,4,_HLCD5,s2,_HLCD5_s2_1
25,82.66486946,3,4,_HLCD5,s2,_HLCD5_s2_1
26,82.64851274,3,4,_HLCD5,s2,_HLCD5_s2_1
27,82.65128968,3,4,_HLCD5,s2,_HLCD5_s2_1
28,82.72814266,3,4,_HLCD5,s2,_HLCD5_s2_1
29,82.86147407,3,4,_HLCD5,s2,_HLCD5_s2_1
30,83.13940611,3,4,_HLCD5,s2,_HLCD5_s2_1
1,84.43099022,3,4,_HLCD5,s2,_HLCD5_s2_2
2,85.80892571,3,4,_HLCD5,s2,_HLCD5_s2_2
3,87.44752853,3,4,_HLCD5,s2,_HLCD5_s2_2
4,89.63397083,3,4,_HLCD5,s2,_HLCD5_s2_2
5,92.2557139,3,4,_HLCD5,s2,_HLCD5_s2_2
6,95.11723818,3,4,_HLCD5,s2,_HLCD5_s2_2
7,98.39085506,3,4,_HLCD5,s2,_HLCD5_s2_2
8,101.6664054,3,4,_HLCD5,s2,_HLCD5_s2_2
9,104.9124399,3,4,_HLCD5,s2,_HLCD5_s2_2
10,107.8890682,3,4,_HLCD5,s2,_HLCD5_s2_2
11,110.6949175,3,4,_HLCD5,s2,_HLCD5_s2_2
12,112.9353999,3,4,_HLCD5,s2,_HLCD5_s2_2
13,114.9466789,3,4,_HLCD5,s2,_HLCD5_s2_2
14,116.4095483,3,4,_HLCD5,s2,_HLCD5_s2_2
15,117.5036007,3,4,_HLCD5,s2,_HLCD5_s2_2
16,118.3297522,3,4,_HLCD5,s2,_HLCD5_s2_2
17,118.661256,3,4,_HLCD5,s2,_HLCD5_s2_2
18,118.8104264,3,4,_HLCD5,s2,_HLCD5_s2_2
19,118.5150021,3,4,_HLCD5,s2,_HLCD5_s2_2
20,117.9100152,3,4,_HLCD5,s2,_HLCD5_s2_2
21,117.0481084,3,4,_HLCD5,s2,_HLCD5_s2_2
22,115.5737888,3,4,_HLCD5,s2,_HLCD5_s2_2
23,113.88768,3,4,_HLCD5,s2,_HLCD5_s2_2
24,111.6968947,3,4,_HLCD5,s2,_HLCD5_s2_2
25,110.7560706,3,4,_HLCD5,s2,_HLCD5_s2_2
26,110.9986217,3,4,_HLCD5,s2,_HLCD5_s2_2
27,109.9593705,3,4,_HLCD5,s2,_HLCD5_s2_2
28,108.5207616,3,4,_HLCD5,s2,_HLCD5_s2_2
29,106.2960177,3,4,_HLCD5,s2,_HLCD5_s2_2
30,105.1411521,3,4,_HLCD5,s2,_HLCD5_s2_2
1,121.9284349,1,3,_HLAC4,s1,_HLAC4_s1_1
2,121.915528,1,3,_HLAC4,s1,_HLAC4_s1_1
3,121.901126,1,3,_HLAC4,s1,_HLAC4_s1_1
4,121.8857784,1,3,_HLAC4,s1,_HLAC4_s1_1
5,121.877552,1,3,_HLAC4,s1,_HLAC4_s1_1
6,121.8678653,1,3,_HLAC4,s1,_HLAC4_s1_1
7,121.858815,1,3,_HLAC4,s1,_HLAC4_s1_1
8,121.8640529,1,3,_HLAC4,s1,_HLAC4_s1_1
9,121.8833089,1,3,_HLAC4,s1,_HLAC4_s1_1
10,121.9147284,1,3,_HLAC4,s1,_HLAC4_s1_1
11,121.9674036,1,3,_HLAC4,s1,_HLAC4_s1_1
12,122.0380646,1,3,_HLAC4,s1,_HLAC4_s1_1
13,122.129259,1,3,_HLAC4,s1,_HLAC4_s1_1
14,122.2660772,1,3,_HLAC4,s1,_HLAC4_s1_1
15,122.4529668,1,3,_HLAC4,s1,_HLAC4_s1_1
16,122.6724367,1,3,_HLAC4,s1,_HLAC4_s1_1
17,122.933099,1,3,_HLAC4,s1,_HLAC4_s1_1
18,123.2211142,1,3,_HLAC4,s1,_HLAC4_s1_1
19,123.4971687,1,3,_HLAC4,s1,_HLAC4_s1_1
20,123.7321929,1,3,_HLAC4,s1,_HLAC4_s1_1
21,123.8698247,1,3,_HLAC4,s1,_HLAC4_s1_1
22,123.9472624,1,3,_HLAC4,s1,_HLAC4_s1_1
23,123.9530789,1,3,_HLAC4,s1,_HLAC4_s1_1
24,123.8193537,1,3,_HLAC4,s1,_HLAC4_s1_1
25,123.5754712,1,3,_HLAC4,s1,_HLAC4_s1_1
26,123.2036998,1,3,_HLAC4,s1,_HLAC4_s1_1
27,122.6248296,1,3,_HLAC4,s1,_HLAC4_s1_1
28,121.9040213,1,3,_HLAC4,s1,_HLAC4_s1_1
29,121.0386044,1,3,_HLAC4,s1,_HLAC4_s1_1
30,119.9334234,1,3,_HLAC4,s1,_HLAC4_s1_1
1,117.6384694,1,3,_HLAC4,s1,_HLAC4_s1_2
2,116.2479454,1,3,_HLAC4,s1,_HLAC4_s1_2
3,114.7399076,1,3,_HLAC4,s1,_HLAC4_s1_2
4,113.1114422,1,3,_HLAC4,s1,_HLAC4_s1_2
5,111.272563,1,3,_HLAC4,s1,_HLAC4_s1_2
6,109.255519,1,3,_HLAC4,s1,_HLAC4_s1_2
7,107.1147956,1,3,_HLAC4,s1,_HLAC4_s1_2
8,104.8519655,1,3,_HLAC4,s1,_HLAC4_s1_2
9,102.6372537,1,3,_HLAC4,s1,_HLAC4_s1_2
10,100.4904598,1,3,_HLAC4,s1,_HLAC4_s1_2
11,98.45042565,1,3,_HLAC4,s1,_HLAC4_s1_2
12,96.61627518,1,3,_HLAC4,s1,_HLAC4_s1_2
13,94.9489117,1,3,_HLAC4,s1,_HLAC4_s1_2
14,93.45705343,1,3,_HLAC4,s1,_HLAC4_s1_2
15,92.22379136,1,3,_HLAC4,s1,_HLAC4_s1_2
16,91.13633795,1,3,_HLAC4,s1,_HLAC4_s1_2
17,90.18843032,1,3,_HLAC4,s1,_HLAC4_s1_2
18,89.43524177,1,3,_HLAC4,s1,_HLAC4_s1_2
19,88.7840034,1,3,_HLAC4,s1,_HLAC4_s1_2
20,88.20669168,1,3,_HLAC4,s1,_HLAC4_s1_2
21,87.71210932,1,3,_HLAC4,s1,_HLAC4_s1_2
22,87.28220569,1,3,_HLAC4,s1,_HLAC4_s1_2
23,86.89881174,1,3,_HLAC4,s1,_HLAC4_s1_2
24,86.57084072,1,3,_HLAC4,s1,_HLAC4_s1_2
25,86.27275473,1,3,_HLAC4,s1,_HLAC4_s1_2
26,86.10675866,1,3,_HLAC4,s1,_HLAC4_s1_2
