time,pitch,Syllable1,Syllable2,Normtime,speaker,pitch_con
1,-230.4276015,3,4,_HLCD5,s2,_HLCD5_s2_1
2,-264.5590645,3,4,_HLCD5,s2,_HLCD5_s2_1
3,-299.4293769,3,4,_HLCD5,s2,_HLCD5_s2_1
4,-336.3223277,3,4,_HLCD5,s2,_HLCD5_s2_1
5,-365.5386248,3,4,_HLCD5,s2,_HLCD5_s2_1
6,-388.0856286,3,4,_HLCD5,s2,_HLCD5_s2_1
7,-423.6605077,3,4,_HLCD5,s2,_HLCD5_s2_1
8,-461.192541,3,4,_HLCD5,s2,_HLCD5_s2_1
9,-482.2293357,3,4,_HLCD5,s2,_HLCD5_s2_1
10,-495.8552032,3,4,_HLCD5,s2,_HLCD5_s2_1
11,-494.9515059,3,4,_HLCD5,s2,_HLCD5_s2_1
12,-480.7778931,3,4,_HLCD5,s2,_HLCD5_s2_1
13,-457.9523638,3,4,_HLCD5,s2,_HLCD5_s2_1
14,-418.9222969,3,4,_HLCD5,s2,_HLCD5_s2_1
15,-376.2053262,3,4,_HLCD5,s2,_HLCD5_s2_1
16,-325.3659629,3,4,_HLCD5,s2,_HLCD5_s2_1
17,-273.9005939,3,4,_HLCD5,s2,_HLCD5_s2_1
18,-221.5268773,3,4,_HLCD5,s2,_HLCD5_s2_1
19,-173.2773945,3,4,_HLCD5,s2,_HLCD5_s2_1
20,-127.008698,3,4,_HLCD5,s2,_HLCD5_s2_1
21,-91.28214306,3,4,_HLCD5,s2,_HLCD5_s2_1
22,-57.90774326,3,4,_HLCD5,s2,_HLCD5_s2_1
23,-30.96382521,3,4,_HLCD5,s2,_HLCD5_s2_1
24,-5.290760143,3,4,_HLCD5,s2,_HLCD5_s2_1
25,18.99565018,3,4,_HLCD5,s2,_HLCD5_s2_1
26,44.38245155,3,4,_HLCD5,s2,_HLCD5_s2_1
27,70.27527243,3,4,_HLCD5,s2,_HLCD5_s2_1
28,105.8627254,3,4,_HLCD5,s2,_HLCD5_s2_1
29,143.3202153,3,4,_HLCD5,s2,_HLCD5_s2_1
30,185.5655251,3,4,_HLCD5,s2,_HLCD5_s2_1
1,280.546199,3,4,_HLCD5,s2,_HLCD5_s2_2
2,325.727331,3,4,_HLCD5,s2,_HLCD5_s2_2
3,366.1500695,3,4,_HLCD5,s2,_HLCD5_s2_2
4,396.5721847,3,4,_HLCD5,s2,_HLCD5_s2_2
5,414.918481,3,4,_HLCD5,s2,_HLCD5_s2_2
