time,pitch,duration,artist,role_type,shengqiang,tone,word,pitch_con
1,358.76,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
2,356.53,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
3,351.5,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
4,346.67,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
5,341.81,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
6,337.4,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
7,333.97,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
8,331.68,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
9,330.99,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
10,332.23,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
11,334.99,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
12,339.02,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
13,344.14,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
14,349.62,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
15,354.52,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
16,358.4,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
17,361.12,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
18,362.19,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
19,361.74,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
20,359.87,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
21,356.95,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
22,352.65,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
23,347.38,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
24,309.32,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
25,295.41,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
26,306.11,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
27,317.99,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
28,330.48,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
29,400.03,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
30,398.99,0.779416897,Fang Rongxiang,J,E,4,zhan4,4_5_173
1,405.96,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
2,405.45,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
3,403.42,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
4,400.43,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
5,395,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
6,388.41,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
7,380.89,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
8,371.05,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
9,361.19,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
10,352.51,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
11,344.63,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
12,337.93,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
13,334.2,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
14,332.29,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
15,331.71,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
16,331.67,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
17,331.86,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
18,332.4,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
19,333.17,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
20,334.41,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
21,336.08,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
22,337.59,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
23,337.86,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
24,337.21,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
25,336.7,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
26,337.53,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
27,339.72,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
28,341.8,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
29,346.71,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
30,347.85,0.72423411,Fang Rongxiang,J,E,4,chi4,4_5_170
1,484.73,0.662823255,An Ping,J,E,3,wo3,3_4_118
2,484.5,0.662823255,An Ping,J,E,3,wo3,3_4_118
3,483.98,0.662823255,An Ping,J,E,3,wo3,3_4_118
4,483.64,0.662823255,An Ping,J,E,3,wo3,3_4_118
5,483.47,0.662823255,An Ping,J,E,3,wo3,3_4_118
6,483.53,0.662823255,An Ping,J,E,3,wo3,3_4_118
7,483.75,0.662823255,An Ping,J,E,3,wo3,3_4_118
8,483.92,0.662823255,An Ping,J,E,3,wo3,3_4_118
