"Syllable1","Syllable2","time","f0_norm_bk","speaker","pitch_con","syl","tone","prev"
"1","1",1,-0.0183168691660645,"s1","_HHAA1_s1_1","1","1","none"
"1","1",2,-0.0161409049320866,"s1","_HHAA1_s1_1","1","1","none"
"1","1",3,-0.0137348771557164,"s1","_HHAA1_s1_1","1","1","none"
"1","1",4,-0.0110064994125292,"s1","_HHAA1_s1_1","1","1","none"
"1","1",5,-0.00904226065119618,"s1","_HHAA1_s1_1","1","1","none"
"1","1",6,-0.00674718160354293,"s1","_HHAA1_s1_1","1","1","none"
"1","1",7,-0.00299527841328961,"s1","_HHAA1_s1_1","1","1","none"
"1","1",8,0.00069462752478322,"s1","_HHAA1_s1_1","1","1","none"
"1","1",9,0.00428703184388834,"s1","_HHAA1_s1_1","1","1","none"
"1","1",10,0.00714122313662702,"s1","_HHAA1_s1_1","1","1","none"
"1","1",11,0.00939924130006142,"s1","_HHAA1_s1_1","1","1","none"
"1","1",12,0.0110583578044086,"s1","_HHAA1_s1_1","1","1","none"
"1","1",13,0.0115473460935451,"s1","_HHAA1_s1_1","1","1","none"
"1","1",14,0.0115138197361424,"s1","_HHAA1_s1_1","1","1","none"
"1","1",15,0.0106459351088442,"s1","_HHAA1_s1_1","1","1","none"
"1","1",16,0.00917851882467513,"s1","_HHAA1_s1_1","1","1","none"
"1","1",17,0.00748280411239532,"s1","_HHAA1_s1_1","1","1","none"
"1","1",18,0.00565264040958491,"s1","_HHAA1_s1_1","1","1","none"
"1","1",19,0.00390243143065239,"s1","_HHAA1_s1_1","1","1","none"
"1","1",20,0.00220983112401152,"s1","_HHAA1_s1_1","1","1","none"
"1","1",21,0.000927770269086636,"s1","_HHAA1_s1_1","1","1","none"
"1","1",22,-0.000129005949615291,"s1","_HHAA1_s1_1","1","1","none"
"1","1",23,-0.000868366324038528,"s1","_HHAA1_s1_1","1","1","none"
"1","1",24,-0.00132056876156894,"s1","_HHAA1_s1_1","1","1","none"
"1","1",25,-0.00168759531655671,"s1","_HHAA1_s1_1","1","1","none"
"1","1",26,-0.00197355860754622,"s1","_HHAA1_s1_1","1","1","none"
"1","1",27,-0.00227909809181259,"s1","_HHAA1_s1_1","1","1","none"
"1","1",28,-0.00260838130849828,"s1","_HHAA1_s1_1","1","1","none"
"1","1",29,-0.00309660384577892,"s1","_HHAA1_s1_1","1","1","none"
"1","1",30,-0.00369452917886859,"s1","_HHAA1_s1_1","1","1","none"
"1","1",1,-0.204508734957725,"s2","_HHAA1_s2_1","1","1","none"
"1","1",2,-0.195648680715983,"s2","_HHAA1_s2_1","1","1","none"
"1","1",3,-0.186213998103283,"s2","_HHAA1_s2_1","1","1","none"
"1","1",4,-0.175329619943656,"s2","_HHAA1_s2_1","1","1","none"
"1","1",5,-0.165597746996377,"s2","_HHAA1_s2_1","1","1","none"
"1","1",6,-0.156740621588999,"s2","_HHAA1_s2_1","1","1","none"
"1","1",7,-0.138589407813803,"s2","_HHAA1_s2_1","1","1","none"
"1","1",8,-0.118582897516837,"s2","_HHAA1_s2_1","1","1","none"
"1","1",9,-0.0969455827515833,"s2","_HHAA1_s2_1","1","1","none"
"1","1",10,-0.0755685677909412,"s2","_HHAA1_s2_1","1","1","none"
"1","1",11,-0.0545433643091018,"s2","_HHAA1_s2_1","1","1","none"
"1","1",12,-0.0354249999309268,"s2","_HHAA1_s2_1","1","1","none"
"1","1",13,-0.0171082375614524,"s2","_HHAA1_s2_1","1","1","none"
"1","1",14,-0.00296972962654696,"s2","_HHAA1_s2_1","1","1","none"
"1","1",15,0.0102580869523337,"s2","_HHAA1_s2_1","1","1","none"
"1","1",16,0.0211996930290728,"s2","_HHAA1_s2_1","1","1","none"
"1","1",17,0.0319173791335836,"s2","_HHAA1_s2_1","1","1","none"
"1","1",18,0.042457196853587,"s2","_HHAA1_s2_1","1","1","none"
"1","1",19,0.0538091998466541,"s2","_HHAA1_s2_1","1","1","none"
"1","1",20,0.0657061369180056,"s2","_HHAA1_s2_1","1","1","none"
"1","1",21,0.0803323265041644,"s2","_HHAA1_s2_1","1","1","none"
"1","1",22,0.0959105239746876,"s2","_HHAA1_s2_1","1","1","none"
"1","1",23,0.112854795951491,"s2","_HHAA1_s2_1","1","1","none"
"1","1",24,0.128441442456189,"s2","_HHAA1_s2_1","1","1","none"
"1","1",25,0.143428875839506,"s2","_HHAA1_s2_1","1","1","none"
"1","1",26,0.155517318715326,"s2","_HHAA1_s2_1","1","1","none"
"1","1",27,0.165799420919565,"s2","_HHAA1_s2_1","1","1","none"
"1","1",28,0.171218516152761,"s2","_HHAA1_s2_1","1","1","none"
"1","1",29,0.173036801635047,"s2","_HHAA1_s2_1","1","1","none"
"1","1",30,0.171884474725244,"s2","_HHAA1_s2_1","1","1","none"
