"Syllable1","Syllable2","time","f0_norm_ct","speaker","pitch_con","syl","tone","prev"
"1","1",1,-23.796678736953,"s1","_HHAA1_s1_1","1","1","none"
"1","1",2,-20.949560514337,"s1","_HHAA1_s1_1","1","1","none"
"1","1",3,-17.8066650116446,"s1","_HHAA1_s1_1","1","1","none"
"1","1",4,-14.2493398199704,"s1","_HHAA1_s1_1","1","1","none"
"1","1",5,-11.6926729384925,"s1","_HHAA1_s1_1","1","1","none"
"1","1",6,-8.70998490542752,"s1","_HHAA1_s1_1","1","1","none"
"1","1",7,-3.84464611682256,"s1","_HHAA1_s1_1","1","1","none"
"1","1",8,0.927481309620816,"s1","_HHAA1_s1_1","1","1","none"
"1","1",9,5.5613681299385,"s1","_HHAA1_s1_1","1","1","none"
"1","1",10,9.23452754413324,"s1","_HHAA1_s1_1","1","1","none"
"1","1",11,12.1351427684615,"s1","_HHAA1_s1_1","1","1","none"
"1","1",12,14.2634397844963,"s1","_HHAA1_s1_1","1","1","none"
"1","1",13,14.8902284279786,"s1","_HHAA1_s1_1","1","1","none"
"1","1",14,14.8472610817253,"s1","_HHAA1_s1_1","1","1","none"
"1","1",15,13.7346235613772,"s1","_HHAA1_s1_1","1","1","none"
"1","1",16,11.8518123612703,"s1","_HHAA1_s1_1","1","1","none"
"1","1",17,9.67361771841206,"s1","_HHAA1_s1_1","1","1","none"
"1","1",18,7.31975442152475,"s1","_HHAA1_s1_1","1","1","none"
"1","1",19,5.06583795920528,"s1","_HHAA1_s1_1","1","1","none"
"1","1",20,2.88341825994894,"s1","_HHAA1_s1_1","1","1","none"
"1","1",21,1.22857782618644,"s1","_HHAA1_s1_1","1","1","none"
"1","1",22,-0.136619488111137,"s1","_HHAA1_s1_1","1","1","none"
"1","1",23,-1.09237986648009,"s1","_HHAA1_s1_1","1","1","none"
"1","1",24,-1.67718599527529,"s1","_HHAA1_s1_1","1","1","none"
"1","1",25,-2.1519792601855,"s1","_HHAA1_s1_1","1","1","none"
"1","1",26,-2.52199435433954,"s1","_HHAA1_s1_1","1","1","none"
"1","1",27,-2.9174237924417,"s1","_HHAA1_s1_1","1","1","none"
"1","1",28,-3.3436798387379,"s1","_HHAA1_s1_1","1","1","none"
"1","1",29,-3.97586848851324,"s1","_HHAA1_s1_1","1","1","none"
"1","1",30,-4.75041202654938,"s1","_HHAA1_s1_1","1","1","none"
"1","1",1,-227.38338850373,"s2","_HHAA1_s2_1","1","1","none"
"1","1",2,-216.678775463091,"s2","_HHAA1_s2_1","1","1","none"
"1","1",3,-205.349174779386,"s2","_HHAA1_s2_1","1","1","none"
"1","1",4,-192.366282369599,"s2","_HHAA1_s2_1","1","1","none"
"1","1",5,-180.836452018797,"s2","_HHAA1_s2_1","1","1","none"
"1","1",6,-170.406417245224,"s2","_HHAA1_s2_1","1","1","none"
"1","1",7,-149.217562831549,"s2","_HHAA1_s2_1","1","1","none"
"1","1",8,-126.146188220619,"s2","_HHAA1_s2_1","1","1","none"
"1","1",9,-101.519769265979,"s2","_HHAA1_s2_1","1","1","none"
"1","1",10,-77.51281818194,"s2","_HHAA1_s2_1","1","1","none"
"1","1",11,-54.2057649892181,"s2","_HHAA1_s2_1","1","1","none"
"1","1",12,-33.2680901069828,"s2","_HHAA1_s2_1","1","1","none"
"1","1",13,-13.4310861337658,"s2","_HHAA1_s2_1","1","1","none"
"1","1",14,1.73496471312387,"s2","_HHAA1_s2_1","1","1","none"
"1","1",15,15.8111819420362,"s2","_HHAA1_s2_1","1","1","none"
"1","1",16,27.3733242096234,"s2","_HHAA1_s2_1","1","1","none"
"1","1",17,38.6285468480946,"s2","_HHAA1_s2_1","1","1","none"
"1","1",18,49.6300069043282,"s2","_HHAA1_s2_1","1","1","none"
"1","1",19,61.4059063336972,"s2","_HHAA1_s2_1","1","1","none"
"1","1",20,73.666579488947,"s2","_HHAA1_s2_1","1","1","none"
"1","1",21,88.628715006681,"s2","_HHAA1_s2_1","1","1","none"
"1","1",22,104.432024339854,"s2","_HHAA1_s2_1","1","1","none"
"1","1",23,121.468568810094,"s2","_HHAA1_s2_1","1","1","none"
"1","1",24,137.002294524734,"s2","_HHAA1_s2_1","1","1","none"
"1","1",25,151.816561030053,"s2","_HHAA1_s2_1","1","1","none"
"1","1",26,163.67939709847,"s2","_HHAA1_s2_1","1","1","none"
