"Syllable1","Syllable2","time","f0_norm","speaker","pitch_con","syl","tone","prev"
"1","1",1,-1.73253795666668,"s1","_HHAA1_s1_1","1","1","none"
"1","1",2,-1.52677495666667,"s1","_HHAA1_s1_1","1","1","none"
"1","1",3,-1.29924265666668,"s1","_HHAA1_s1_1","1","1","none"
"1","1",4,-1.04120855666667,"s1","_HHAA1_s1_1","1","1","none"
"1","1",5,-0.855430456666667,"s1","_HHAA1_s1_1","1","1","none"
"1","1",6,-0.638348856666667,"s1","_HHAA1_s1_1","1","1","none"
"1","1",7,-0.283443356666666,"s1","_HHAA1_s1_1","1","1","none"
"1","1",8,0.0656330433333352,"s1","_HHAA1_s1_1","1","1","none"
"1","1",9,0.405519343333324,"s1","_HHAA1_s1_1","1","1","none"
"1","1",10,0.675585343333324,"s1","_HHAA1_s1_1","1","1","none"
"1","1",11,0.889255943333325,"s1","_HHAA1_s1_1","1","1","none"
"1","1",12,1.04626244333333,"s1","_HHAA1_s1_1","1","1","none"
"1","1",13,1.09253804333333,"s1","_HHAA1_s1_1","1","1","none"
"1","1",14,1.08936524333333,"s1","_HHAA1_s1_1","1","1","none"
"1","1",15,1.00723314333332,"s1","_HHAA1_s1_1","1","1","none"
"1","1",16,0.868368943333323,"s1","_HHAA1_s1_1","1","1","none"
"1","1",17,0.707907443333326,"s1","_HHAA1_s1_1","1","1","none"
"1","1",18,0.534731743333325,"s1","_HHAA1_s1_1","1","1","none"
"1","1",19,0.369129743333332,"s1","_HHAA1_s1_1","1","1","none"
"1","1",20,0.208986143333334,"s1","_HHAA1_s1_1","1","1","none"
"1","1",21,0.0876902433333271,"s1","_HHAA1_s1_1","1","1","none"
"1","1",22,-0.0122882566666647,"s1","_HHAA1_s1_1","1","1","none"
"1","1",23,-0.082235256666678,"s1","_HHAA1_s1_1","1","1","none"
"1","1",24,-0.125015056666669,"s1","_HHAA1_s1_1","1","1","none"
"1","1",25,-0.159736556666672,"s1","_HHAA1_s1_1","1","1","none"
"1","1",26,-0.186789056666669,"s1","_HHAA1_s1_1","1","1","none"
"1","1",27,-0.215693256666668,"s1","_HHAA1_s1_1","1","1","none"
"1","1",28,-0.246843356666673,"s1","_HHAA1_s1_1","1","1","none"
"1","1",29,-0.29302855666667,"s1","_HHAA1_s1_1","1","1","none"
"1","1",30,-0.349590656666678,"s1","_HHAA1_s1_1","1","1","none"
"1","1",1,-19.4835229133333,"s2","_HHAA1_s2_1","1","1","none"
"1","1",2,-18.6430048133333,"s2","_HHAA1_s2_1","1","1","none"
"1","1",3,-17.7477338133333,"s2","_HHAA1_s2_1","1","1","none"
"1","1",4,-16.7145892133333,"s2","_HHAA1_s2_1","1","1","none"
"1","1",5,-15.7905573133333,"s2","_HHAA1_s2_1","1","1","none"
"1","1",6,-14.9493480133333,"s2","_HHAA1_s2_1","1","1","none"
"1","1",7,-13.2247266133333,"s2","_HHAA1_s2_1","1","1","none"
"1","1",8,-11.3227210133333,"s2","_HHAA1_s2_1","1","1","none"
"1","1",9,-9.26435441333331,"s2","_HHAA1_s2_1","1","1","none"
