"time","f0_norm","Syllable1","Syllable2","Normtime","speaker","pitch_con"
1,-23.796678736953,"1","1","_HHAA1","s1","_HHAA1_s1_1"
2,-20.949560514337,"1","1","_HHAA1","s1","_HHAA1_s1_1"
3,-17.8066650116446,"1","1","_HHAA1","s1","_HHAA1_s1_1"
4,-14.2493398199704,"1","1","_HHAA1","s1","_HHAA1_s1_1"
5,-11.6926729384925,"1","1","_HHAA1","s1","_HHAA1_s1_1"
6,-8.70998490542752,"1","1","_HHAA1","s1","_HHAA1_s1_1"
7,-3.84464611682256,"1","1","_HHAA1","s1","_HHAA1_s1_1"
8,0.927481309620816,"1","1","_HHAA1","s1","_HHAA1_s1_1"
9,5.5613681299385,"1","1","_HHAA1","s1","_HHAA1_s1_1"
10,9.23452754413324,"1","1","_HHAA1","s1","_HHAA1_s1_1"
11,12.1351427684615,"1","1","_HHAA1","s1","_HHAA1_s1_1"
12,14.2634397844963,"1","1","_HHAA1","s1","_HHAA1_s1_1"
13,14.8902284279786,"1","1","_HHAA1","s1","_HHAA1_s1_1"
14,14.8472610817253,"1","1","_HHAA1","s1","_HHAA1_s1_1"
15,13.7346235613772,"1","1","_HHAA1","s1","_HHAA1_s1_1"
16,11.8518123612703,"1","1","_HHAA1","s1","_HHAA1_s1_1"
17,9.67361771841206,"1","1","_HHAA1","s1","_HHAA1_s1_1"
18,7.31975442152475,"1","1","_HHAA1","s1","_HHAA1_s1_1"
19,5.06583795920528,"1","1","_HHAA1","s1","_HHAA1_s1_1"
20,2.88341825994894,"1","1","_HHAA1","s1","_HHAA1_s1_1"
21,1.22857782618644,"1","1","_HHAA1","s1","_HHAA1_s1_1"
22,-0.136619488111137,"1","1","_HHAA1","s1","_HHAA1_s1_1"
23,-1.09237986648009,"1","1","_HHAA1","s1","_HHAA1_s1_1"
24,-1.67718599527529,"1","1","_HHAA1","s1","_HHAA1_s1_1"
25,-2.1519792601855,"1","1","_HHAA1","s1","_HHAA1_s1_1"
26,-2.52199435433954,"1","1","_HHAA1","s1","_HHAA1_s1_1"
27,-2.9174237924417,"1","1","_HHAA1","s1","_HHAA1_s1_1"
28,-3.3436798387379,"1","1","_HHAA1","s1","_HHAA1_s1_1"
29,-3.97586848851324,"1","1","_HHAA1","s1","_HHAA1_s1_1"
30,-4.75041202654938,"1","1","_HHAA1","s1","_HHAA1_s1_1"
1,-1.44797440750744,"1","1","_HHAA1","s1","_HHAA1_s1_2"
2,-2.1622670873146,"1","1","_HHAA1","s1","_HHAA1_s1_2"
3,-2.77237157300124,"1","1","_HHAA1","s1","_HHAA1_s1_2"
4,-3.2714761004554,"1","1","_HHAA1","s1","_HHAA1_s1_2"
5,-3.4130564338991,"1","1","_HHAA1","s1","_HHAA1_s1_2"
6,-3.15956037632168,"1","1","_HHAA1","s1","_HHAA1_s1_2"
7,-2.4438003709281,"1","1","_HHAA1","s1","_HHAA1_s1_2"
8,-1.05491780010516,"1","1","_HHAA1","s1","_HHAA1_s1_2"
9,0.670635353699709,"1","1","_HHAA1","s1","_HHAA1_s1_2"
10,2.79505204671159,"1","1","_HHAA1","s1","_HHAA1_s1_2"
11,5.29598492059154,"1","1","_HHAA1","s1","_HHAA1_s1_2"
12,7.63221620322838,"1","1","_HHAA1","s1","_HHAA1_s1_2"
13,9.65450500086854,"1","1","_HHAA1","s1","_HHAA1_s1_2"
14,10.9924259798352,"1","1","_HHAA1","s1","_HHAA1_s1_2"
15,11.8231280429857,"1","1","_HHAA1","s1","_HHAA1_s1_2"
16,11.9262231757616,"1","1","_HHAA1","s1","_HHAA1_s1_2"
17,11.0480909012849,"1","1","_HHAA1","s1","_HHAA1_s1_2"
18,9.66492969935052,"1","1","_HHAA1","s1","_HHAA1_s1_2"
19,7.61956944150347,"1","1","_HHAA1","s1","_HHAA1_s1_2"
20,4.95697241093194,"1","1","_HHAA1","s1","_HHAA1_s1_2"
21,2.11450453687939,"1","1","_HHAA1","s1","_HHAA1_s1_2"
22,-0.814393101788482,"1","1","_HHAA1","s1","_HHAA1_s1_2"
23,-3.71922645322161,"1","1","_HHAA1","s1","_HHAA1_s1_2"
24,-6.61812190595788,"1","1","_HHAA1","s1","_HHAA1_s1_2"
25,-9.51435123741931,"1","1","_HHAA1","s1","_HHAA1_s1_2"
26,-9.95388229100445,"1","1","_HHAA1","s1","_HHAA1_s1_2"
27,-9.87808276129704,"1","1","_HHAA1","s1","_HHAA1_s1_2"
28,-10.7682707389993,"1","1","_HHAA1","s1","_HHAA1_s1_2"
29,-12.0377144319907,"1","1","_HHAA1","s1","_HHAA1_s1_2"
30,-13.1647706424219,"1","1","_HHAA1","s1","_HHAA1_s1_2"
1,-227.38338850373,"1","1","_HHAA1","s2","_HHAA1_s2_1"
2,-216.678775463091,"1","1","_HHAA1","s2","_HHAA1_s2_1"
3,-205.349174779386,"1","1","_HHAA1","s2","_HHAA1_s2_1"
4,-192.366282369599,"1","1","_HHAA1","s2","_HHAA1_s2_1"
5,-180.836452018797,"1","1","_HHAA1","s2","_HHAA1_s2_1"
6,-170.406417245224,"1","1","_HHAA1","s2","_HHAA1_s2_1"
7,-149.217562831549,"1","1","_HHAA1","s2","_HHAA1_s2_1"
8,-126.146188220619,"1","1","_HHAA1","s2","_HHAA1_s2_1"
9,-101.519769265979,"1","1","_HHAA1","s2","_HHAA1_s2_1"
10,-77.51281818194,"1","1","_HHAA1","s2","_HHAA1_s2_1"
11,-54.2057649892181,"1","1","_HHAA1","s2","_HHAA1_s2_1"
12,-33.2680901069828,"1","1","_HHAA1","s2","_HHAA1_s2_1"
13,-13.4310861337658,"1","1","_HHAA1","s2","_HHAA1_s2_1"
14,1.73496471312387,"1","1","_HHAA1","s2","_HHAA1_s2_1"
15,15.8111819420362,"1","1","_HHAA1","s2","_HHAA1_s2_1"
16,27.3733242096234,"1","1","_HHAA1","s2","_HHAA1_s2_1"
17,38.6285468480946,"1","1","_HHAA1","s2","_HHAA1_s2_1"
18,49.6300069043282,"1","1","_HHAA1","s2","_HHAA1_s2_1"
19,61.4059063336972,"1","1","_HHAA1","s2","_HHAA1_s2_1"
20,73.666579488947,"1","1","_HHAA1","s2","_HHAA1_s2_1"
21,88.628715006681,"1","1","_HHAA1","s2","_HHAA1_s2_1"
22,104.432024339854,"1","1","_HHAA1","s2","_HHAA1_s2_1"
23,121.468568810094,"1","1","_HHAA1","s2","_HHAA1_s2_1"
24,137.002294524734,"1","1","_HHAA1","s2","_HHAA1_s2_1"
25,151.816561030053,"1","1","_HHAA1","s2","_HHAA1_s2_1"
26,163.67939709847,"1","1","_HHAA1","s2","_HHAA1_s2_1"
27,173.710060094887,"1","1","_HHAA1","s2","_HHAA1_s2_1"
28,178.974839273254,"1","1","_HHAA1","s2","_HHAA1_s2_1"
29,180.737997494668,"1","1","_HHAA1","s2","_HHAA1_s2_1"
30,179.620801997338,"1","1","_HHAA1","s2","_HHAA1_s2_1"
1,87.4861340550201,"1","1","_HHAA1","s2","_HHAA1_s2_2"
2,80.4988351113641,"1","1","_HHAA1","s2","_HHAA1_s2_2"
3,73.6784940448226,"1","1","_HHAA1","s2","_HHAA1_s2_2"
4,67.0416997845493,"1","1","_HHAA1","s2","_HHAA1_s2_2"
5,60.9074115037661,"1","1","_HHAA1","s2","_HHAA1_s2_2"
6,54.4103012916048,"1","1","_HHAA1","s2","_HHAA1_s2_2"
7,47.4398954777409,"1","1","_HHAA1","s2","_HHAA1_s2_2"
8,38.3765921813902,"1","1","_HHAA1","s2","_HHAA1_s2_2"
9,28.392325070902,"1","1","_HHAA1","s2","_HHAA1_s2_2"
10,17.3201164287418,"1","1","_HHAA1","s2","_HHAA1_s2_2"
11,6.12090052557528,"1","1","_HHAA1","s2","_HHAA1_s2_2"
12,-4.55256555647406,"1","1","_HHAA1","s2","_HHAA1_s2_2"
13,-14.2781419523158,"1","1","_HHAA1","s2","_HHAA1_s2_2"
14,-20.8578048023523,"1","1","_HHAA1","s2","_HHAA1_s2_2"
15,-25.7952484554894,"1","1","_HHAA1","s2","_HHAA1_s2_2"
16,-28.537932101942,"1","1","_HHAA1","s2","_HHAA1_s2_2"
17,-29.4840120478057,"1","1","_HHAA1","s2","_HHAA1_s2_2"
18,-29.7010688688824,"1","1","_HHAA1","s2","_HHAA1_s2_2"
19,-29.1422785179029,"1","1","_HHAA1","s2","_HHAA1_s2_2"
20,-29.0402621167132,"1","1","_HHAA1","s2","_HHAA1_s2_2"
21,-29.2282516362914,"1","1","_HHAA1","s2","_HHAA1_s2_2"
22,-29.8685213432962,"1","1","_HHAA1","s2","_HHAA1_s2_2"
23,-31.2207978166,"1","1","_HHAA1","s2","_HHAA1_s2_2"
24,-33.0426479548414,"1","1","_HHAA1","s2","_HHAA1_s2_2"
